ApName,Super Build／SS7,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,
工事名,（仮称）巨勢町賃貸マンション新築工事,,,,,,,,,,,,,,,,
略称,巨勢町賃貸マンション,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,
出力日時,2020/9/1 9:25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,0.1,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WX+,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,-9.6,1.9,-5.9,-5.2,5.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,-6.3,-2.3,-10.8,-3.4,3.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,-14,0.6,-12.9,-5.2,5.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,-12,-0.2,-12.3,-4.7,4.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,-12.5,0.1,-12.4,-4.8,4.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,-12.4,0.2,-12.1,-4.9,4.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,-12,2.5,-7.1,-6.4,6.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,-6.2,-2.2,-10.5,-3.4,3.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,-13.7,0.6,-12.7,-5.1,5.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,-11.9,-0.2,-12.2,-4.7,4.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,-12.4,0.1,-12.3,-4.8,4.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,-12.3,0.2,-12,-4.9,4.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,0.6,0.1,0.6,0.3,-0.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-0.6,1,1.3,0.3,-0.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,1.2,-0.7,-0.2,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,0.2,0.1,0.4,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,1.5,-0.5,0.5,0.3,-0.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,1.2,-0.5,0.4,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,1.1,-0.5,0.3,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,0.9,-0.5,0.1,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,0.4,-0.2,-0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WX-,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,9.5,-1.9,5.9,5.1,-5.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,6.3,2.3,10.7,3.4,-3.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,13.9,-0.6,12.8,5.2,-5.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,12,0.2,12.3,4.7,-4.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,12.5,-0.1,12.3,4.8,-4.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,12.4,-0.1,12.2,5,-5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,12,-2.5,7.1,6.4,-6.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,6.2,2.2,10.5,3.4,-3.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,13.7,-0.6,12.7,5.1,-5.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,11.9,0.2,12.2,4.7,-4.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,12.3,-0.1,12.2,4.8,-4.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,12.3,-0.1,12.1,4.9,-4.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,0.4,-0.2,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-0.1,0.2,0.3,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,0.6,-0.4,-0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,1.1,-0.5,0.2,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,1.2,-0.5,0.4,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,1.4,-0.5,0.5,0.3,-0.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,1.7,-0.6,0.5,0.3,-0.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,1,-0.4,0.3,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WY+,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,0.5,-0.2,0.1,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,-0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,0.2,-0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,0.1,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,0.2,0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,0.1,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,0.5,-0.3,-0.1,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,-0.3,0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,-0.2,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,-0.1,0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,-0.2,-0.1,-0.4,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,-22.6,8.4,-5.9,-5.7,5.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,5.9,-13.9,-21.9,-5.7,5.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,-24.2,8.9,-6.4,-6.1,6.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,6.4,-15,-23.6,-6.1,6.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,-46.3,0.4,-45.6,-11.7,11.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,-45.9,0.4,-45.3,-11.6,11.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,-45.6,0.4,-45,-11.6,11.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,-45.4,0.4,-44.7,-11.5,11.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,-23,0.2,-22.7,-5.8,5.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WY-,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,0.4,-0.2,0.1,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,-0.2,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,-0.1,0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,-0.2,-0.1,-0.4,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,0.8,-0.4,-0.1,0.3,-0.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,-0.3,0.2,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,0.2,-0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,0.1,0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,-0.1,-0.1,-0.3,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,23.2,-8.6,6.2,5.9,-5.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-6.2,14.5,22.8,5.9,-5.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,24.7,-8.9,7,6.3,-6.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,-7,15.9,24.7,6.3,-6.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,47.5,0.3,47.9,12.2,-12.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,47.3,0.3,47.7,12.1,-12.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,47,0.3,47.4,12,-12,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,46.8,0.3,47.2,12,-12,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,23.8,0.1,24,6.1,-6.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=EX+,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,-53.8,10.4,-33.1,-29,29,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-83.7,-4.3,-92.2,-58.6,58.6,-0.3,0.3,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,-36.4,-13,-62.3,-19.8,19.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-75.4,-3.7,-82.7,-31.7,31.7,0.1,-0.1,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,-81,3.2,-74.6,-30,30,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-85,1.4,-82.4,-32.2,32.2,0.1,-0.1,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,-69.3,-0.9,-71,-27,27,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-85.3,-2.7,-90.6,-33.9,33.9,0.1,-0.1,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,-72.7,0.1,-72.7,-28,28,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-77.1,8.8,-59.7,-26.3,26.3,0.1,-0.1,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,-71.4,1.7,-68,-27.9,27.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-108,-29.9,-167.6,-55.2,55.2,0.1,-0.1,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,-69.9,13.9,-42.1,-37.4,37.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-81.4,-5.5,-92.2,-57.9,57.9,0.6,-0.6,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,-36.5,-12.6,-61.5,-19.7,19.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-71.8,-5,-81.7,-30.8,30.8,-0.2,0.2,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,-79.9,3,-74.1,-29.6,29.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
